datalink.exe af3 -ber 1e-4 -port 23337 -log 5a.txt 
=========================================================================
                          Station A                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-004
Log file "5a.txt", TCP port 23337, debug mask 0x03
Station A is waiting for station B on TCP port 23337 ... Done.
New epoch: Mon Apr 30 17:51:56 2018
=========================================================================
Designed by Liu Zhonghao, build: Apr 30 2018  16:59:40
0.002 Send DATA 0 15, ID 10000
0.222 Send DATA 1 15, ID 10001
0.489 Send DATA 2 15, ID 10002
0.552 **** Receiver Error, Bad CRC Checksum
0.756 Send DATA 3 15, ID 10003
0.818 **** Receiver Error, Bad CRC Checksum
1.024 Send DATA 4 15, ID 10004
1.088 **** Receiver Error, Bad CRC Checksum
1.274 Send DATA 5 15, ID 10005
1.338 Recv DATA 3 0, ID 20003
1.543 Send DATA 6 15, ID 10006
1.606 Recv DATA 4 1, ID 20004
1.811 Send DATA 7 15, ID 10007
1.859 Recv DATA 5 2, ID 20005
2.076 Send DATA 8 15, ID 10008
2.124 Recv DATA 6 3, ID 20006
2.344 Send DATA 9 15, ID 10009
2.391 Recv DATA 7 4, ID 20007
2.598 Send DATA 10 15, ID 10010
2.678 **** Receiver Error, Bad CRC Checksum
2.866 Send DATA 11 15, ID 10011
2.930 **** Receiver Error, Bad CRC Checksum
3.134 Send DATA 12 15, ID 10012
3.182 Recv DATA 1 4, ID 20001
3.389 Send DATA 13 15, ID 10013
3.452 Recv DATA 2 4, ID 20002
3.594 ---- DATA 5 timeout
3.594 Send DATA 5 15, ID 10005
3.595 Send DATA 6 15, ID 10006
3.598 Send DATA 7 15, ID 10007
3.599 Send DATA 8 15, ID 10008
3.599 Send DATA 9 15, ID 10009
3.600 Send DATA 10 15, ID 10010
3.600 Send DATA 11 15, ID 10011
3.601 Send DATA 12 15, ID 10012
3.601 Send DATA 13 15, ID 10013
3.697 Recv DATA 3 4, ID 20003
3.978 Recv DATA 4 4, ID 20004
4.243 Recv DATA 5 4, ID 20005
4.511 Recv DATA 6 4, ID 20006
4.778 Recv DATA 7 4, ID 20007
5.046 Recv DATA 8 4, ID 20008
5.312 Recv DATA 0 6, ID 20000
5.312 .... 1 packets received, 406 bps, 5.08%, Err 5 (1.2e-004)
5.563 Recv DATA 1 6, ID 20001
5.830 Recv DATA 2 6, ID 20002
6.032 Send DATA 14 2, ID 10014
6.095 Recv DATA 3 6, ID 20003
6.301 Send DATA 15 3, ID 10015
6.364 Recv DATA 4 6, ID 20004
6.490 ---- DATA 7 timeout
6.490 Send DATA 7 4, ID 10007
6.491 Send DATA 8 4, ID 10008
6.494 Send DATA 9 4, ID 10009
6.494 Send DATA 10 4, ID 10010
6.495 Send DATA 11 4, ID 10011
6.496 Send DATA 12 4, ID 10012
6.496 Send DATA 13 4, ID 10013
6.497 Send DATA 14 4, ID 10014
6.497 Send DATA 15 4, ID 10015
6.624 Recv DATA 5 6, ID 20005
6.892 Recv DATA 6 6, ID 20006
7.144 Recv DATA 7 6, ID 20007
7.411 **** Receiver Error, Bad CRC Checksum
7.679 Recv DATA 9 8, ID 20009
7.932 **** Receiver Error, Bad CRC Checksum
8.199 Recv DATA 11 8, ID 20011
8.467 Recv DATA 12 9, ID 20012
8.736 Recv DATA 13 10, ID 20013
8.942 Send DATA 0 7, ID 10016
8.989 Recv DATA 5 11, ID 20005
9.194 Send DATA 1 7, ID 10017
9.257 **** Receiver Error, Bad CRC Checksum
9.461 Send DATA 2 7, ID 10018
9.524 Recv DATA 7 11, ID 20007
9.731 Send DATA 3 7, ID 10019
9.793 Recv DATA 8 11, ID 20008
9.793 .... 9 packets received, 1935 bps, 24.19%, Err 8 (1.0e-004)
9.996 Send DATA 4 8, ID 10020
10.044 Recv DATA 9 11, ID 20009
10.186 ---- DATA 12 timeout
10.186 Send DATA 12 9, ID 10012
10.186 Send DATA 13 9, ID 10013
10.186 Send DATA 14 9, ID 10014
10.186 Send DATA 15 9, ID 10015
10.186 Send DATA 0 9, ID 10016
10.186 Send DATA 1 9, ID 10017
10.186 Send DATA 2 9, ID 10018
10.186 Send DATA 3 9, ID 10019
10.187 Send DATA 4 9, ID 10020
10.330 Recv DATA 10 11, ID 20010
10.597 Recv DATA 11 11, ID 20011
10.830 **** Receiver Error, Bad CRC Checksum
11.114 Recv DATA 13 11, ID 20013
11.380 Recv DATA 14 11, ID 20014
11.648 **** Receiver Error, Bad CRC Checksum
11.913 Recv DATA 0 13, ID 20016
12.164 Recv DATA 1 14, ID 20017
12.429 Recv DATA 2 15, ID 20018
12.635 Send DATA 5 11, ID 10021
12.698 Recv DATA 10 0, ID 20010
12.902 Send DATA 6 11, ID 10022
12.965 Recv DATA 11 0, ID 20011
13.158 Send DATA 7 11, ID 10023
13.237 Recv DATA 12 0, ID 20012
13.237 .... 13 packets received, 2053 bps, 25.66%, Err 10 (9.5e-005)
13.425 Send DATA 8 12, ID 10024
13.489 Recv DATA 13 0, ID 20013
13.696 Send DATA 9 13, ID 10025
13.759 **** Receiver Error, Bad CRC Checksum
13.887 ---- DATA 1 timeout
13.888 Send DATA 1 13, ID 10017
13.888 Send DATA 2 13, ID 10018
13.889 Send DATA 3 13, ID 10019
13.889 Send DATA 4 13, ID 10020
13.889 Send DATA 5 13, ID 10021
13.890 Send DATA 6 13, ID 10022
13.890 Send DATA 7 13, ID 10023
13.891 Send DATA 8 13, ID 10024
13.891 Send DATA 9 13, ID 10025
14.035 Recv DATA 15 0, ID 20015
14.290 Recv DATA 0 0, ID 20016
14.544 Recv DATA 1 0, ID 20017
14.796 Recv DATA 2 0, ID 20018
