datalink.exe bf3 -ber 1e-4 -port 23337 -log 5b.txt 
=========================================================================
                          Station B                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-004
Log file "5b.txt", TCP port 23337, debug mask 0x03
Station B is connecting station A (TCP port 23337) ... Done.
New epoch: Mon Apr 30 17:51:56 2018
=========================================================================
Designed by Liu Zhonghao, build: Apr 30 2018  16:59:40
0.002 Send DATA 0 15, ID 20000
0.222 Send DATA 1 15, ID 20001
0.489 Send DATA 2 15, ID 20002
0.552 Recv DATA 0 15, ID 10000
0.756 Send DATA 3 0, ID 20003
0.818 Recv DATA 1 15, ID 10001
1.010 Send DATA 4 1, ID 20004
1.089 Recv DATA 2 15, ID 10002
1.277 Send DATA 5 2, ID 20005
1.339 Recv DATA 3 15, ID 10003
1.542 Send DATA 6 3, ID 20006
1.589 Recv DATA 4 15, ID 10004
1.810 Send DATA 7 4, ID 20007
1.873 **** Receiver Error, Bad CRC Checksum
2.075 Send DATA 8 4, ID 20008
2.139 Recv DATA 6 15, ID 10006
2.280 ---- DATA 0 timeout
2.280 Send DATA 0 4, ID 20000
2.280 Send DATA 1 4, ID 20001
2.280 Send DATA 2 4, ID 20002
2.281 Send DATA 3 4, ID 20003
2.281 Send DATA 4 4, ID 20004
2.282 Send DATA 5 4, ID 20005
2.282 Send DATA 6 4, ID 20006
2.282 Send DATA 7 4, ID 20007
2.283 Send DATA 8 4, ID 20008
2.408 **** Receiver Error, Bad CRC Checksum
2.678 Recv DATA 8 15, ID 10008
2.929 Recv DATA 9 15, ID 10009
3.196 Recv DATA 10 15, ID 10010
3.465 Recv DATA 11 15, ID 10011
3.716 Recv DATA 12 15, ID 10012
3.983 Recv DATA 13 15, ID 10013
4.235 Recv DATA 5 15, ID 10005
4.235 .... 6 packets received, 3098 bps, 38.72%, Err 2 (5.9e-005)
4.505 Recv DATA 6 15, ID 10006
4.647 ---- DATA 0 timeout
4.647 Send DATA 0 6, ID 20000
4.648 Send DATA 1 6, ID 20001
4.652 Send DATA 2 6, ID 20002
4.652 Send DATA 3 6, ID 20003
4.652 Send DATA 4 6, ID 20004
4.653 Send DATA 5 6, ID 20005
4.653 Send DATA 6 6, ID 20006
4.654 Send DATA 7 6, ID 20007
4.654 Send DATA 8 6, ID 20008
4.781 Recv DATA 7 15, ID 10007
5.049 Recv DATA 8 15, ID 10008
5.298 **** Receiver Error, Bad CRC Checksum
5.548 **** Receiver Error, Bad CRC Checksum
5.814 **** Receiver Error, Bad CRC Checksum
6.079 Recv DATA 12 15, ID 10012
6.346 Recv DATA 13 15, ID 10013
6.629 Recv DATA 14 2, ID 10014
6.884 Recv DATA 15 3, ID 10015
7.088 Send DATA 9 8, ID 20009
7.151 **** Receiver Error, Bad CRC Checksum
7.359 Send DATA 10 8, ID 20010
7.422 Recv DATA 8 4, ID 10008
7.613 Send DATA 11 8, ID 20011
7.676 Recv DATA 9 4, ID 10009
7.676 .... 10 packets received, 2765 bps, 34.56%, Err 7 (1.1e-004)
7.883 Send DATA 12 9, ID 20012
7.946 Recv DATA 10 4, ID 10010
8.150 Send DATA 13 10, ID 20013
8.214 Recv DATA 11 4, ID 10011
8.340 ---- DATA 5 timeout
8.340 Send DATA 5 11, ID 20005
8.340 Send DATA 6 11, ID 20006
8.340 Send DATA 7 11, ID 20007
8.341 Send DATA 8 11, ID 20008
8.341 Send DATA 9 11, ID 20009
8.341 Send DATA 10 11, ID 20010
8.341 Send DATA 11 11, ID 20011
8.341 Send DATA 12 11, ID 20012
8.342 Send DATA 13 11, ID 20013
8.483 **** Receiver Error, Bad CRC Checksum
8.718 Recv DATA 13 4, ID 10013
9.000 Recv DATA 14 4, ID 10014
9.266 Recv DATA 15 4, ID 10015
9.518 Recv DATA 0 7, ID 10016
9.789 Recv DATA 1 7, ID 10017
10.061 Recv DATA 2 7, ID 10018
10.313 Recv DATA 3 7, ID 10019
10.581 Recv DATA 4 8, ID 10020
10.783 Send DATA 14 11, ID 20014
10.847 Recv DATA 12 9, ID 10012
10.847 .... 13 packets received, 2517 bps, 31.46%, Err 8 (9.2e-005)
11.052 Send DATA 15 12, ID 20015
11.099 Recv DATA 13 9, ID 10013
11.317 Send DATA 0 13, ID 20016
11.364 Recv DATA 14 9, ID 10014
11.569 Send DATA 1 14, ID 20017
11.632 Recv DATA 15 9, ID 10015
11.836 Send DATA 2 15, ID 20018
11.898 Recv DATA 0 9, ID 10016
12.039 ---- DATA 10 timeout
12.039 Send DATA 10 0, ID 20010
12.039 Send DATA 11 0, ID 20011
12.039 Send DATA 12 0, ID 20012
12.040 Send DATA 13 0, ID 20013
12.040 Send DATA 14 0, ID 20014
12.040 Send DATA 15 0, ID 20015
12.040 Send DATA 0 0, ID 20016
12.041 Send DATA 1 0, ID 20017
12.041 Send DATA 2 0, ID 20018
12.166 Recv DATA 1 9, ID 10017
12.415 Recv DATA 2 9, ID 10018
12.684 **** Receiver Error, Bad CRC Checksum
12.951 Recv DATA 4 9, ID 10020
13.221 Recv DATA 5 11, ID 10021
13.474 Recv DATA 6 11, ID 10022
13.744 Recv DATA 7 11, ID 10023
14.015 Recv DATA 8 12, ID 10024
14.286 Recv DATA 9 13, ID 10025
14.476 Send DATA 3 2, ID 20019
14.555 **** Receiver Error, Bad CRC Checksum
14.744 Send DATA 4 2, ID 20020
14.806 Recv DATA 2 13, ID 10018
15.010 Send DATA 5 2, ID 20021
15.073 Recv DATA 3 13, ID 10019
15.073 .... 20 packets received, 2767 bps, 34.58%, Err 10 (8.3e-005)
15.277 Send DATA 6 3, ID 20022
15.340 Recv DATA 4 13, ID 10020
15.481 ---- DATA 14 timeout
15.481 Send DATA 14 4, ID 20014
15.481 Send DATA 15 4, ID 20015
15.481 Send DATA 0 4, ID 20016
15.481 Send DATA 1 4, ID 20017
15.481 Send DATA 2 4, ID 20018
15.482 Send DATA 3 4, ID 20019
15.482 Send DATA 4 4, ID 20020
